lugar,fecha,latitud,longitud,profundidad,magnitud
115 km al E de Socaire,2022-05-02 20:07:53,-23.819,-66.791,220 km,4.0 Mw
68 km al SE de Socaire,2022-05-02 19:11:14,-24.027,-67.427,245 km,3.6 Ml
37 km al S de Mina Collahuasi,2022-05-02 17:31:44,-21.152,-68.596,143 km,3.4 Ml
80 km al NE de San Pedro de Atacama,2022-05-02 16:47:23,-22.283,-67.835,191 km,3.0 Ml
60 km al NE de Calama,2022-05-02 16:31:41,-22.09,-68.518,123 km,2.8 Ml
55 km al O de Mejillones,2022-05-02 13:03:26,-23.028,-70.979,32 km,3.4 Ml
34 km al NO de Tongoy,2022-05-02 11:41:32,-30.043,-71.743,20 km,2.6 Ml
26 km al NO de Navidad,2022-05-02 09:04:35,-33.784,-72.026,34 km,3.7 Ml
30 km al SO de Calama,2022-05-02 08:57:31,-22.711,-69.052,101 km,3.1 Ml
15 km al O de Mina Los Pelambres,2022-05-02 07:53:30,-31.876,-70.728,92 km,2.8 Ml
33 km al O de Punitaqui,2022-05-02 07:40:15,-30.893,-71.591,62 km,3.6 Ml
47 km al SO de Huasco,2022-05-02 06:33:04,-28.816,-71.487,30 km,2.7 Ml
50 km al SE de Sierra Gorda.,2022-05-02 04:53:45,-23.217,-68.977,95 km,2.8 Ml
23 km al O de San Pedro de Atacama,2022-05-02 03:17:59,-22.883,-68.42,104 km,2.7 Ml
43 km al NE de Calama,2022-05-02 03:03:35,-22.16,-68.688,115 km,2.6 Ml
