lugar,fecha,latitud,longitud,profundidad,magnitud
84 km al SE de Socaire,2022-05-05 23:15:15,-24.049,-67.233,222 km,3.3 Ml
35 km al SO de Taltal,2022-05-05 22:38:46,-25.696,-70.617,31 km,3.2 Ml
75 km al SE de Socaire,2022-05-05 22:18:46,-23.98,-67.292,235 km,3.5 Ml
110 km al NO de Navidad,2022-05-05 21:05:28,-33.434,-72.844,25 km,5.2 Mww
17 km al O de BahÃ­a Mansa,2022-05-05 20:59:04,-40.532,-73.921,18 km,2.9 Ml
25 km al NO de Petorca,2022-05-05 17:21:43,-32.118,-71.139,75 km,3.7 Ml
40 km al SE de CamiÃ±a,2022-05-05 15:06:29,-19.587,-69.18,102 km,2.5 Ml
16 km al S de Santiago,2022-05-05 15:01:45,-33.583,-70.619,83 km,2.5 Ml
68 km al S de Socaire,2022-05-05 14:39:23,-24.199,-67.929,227 km,2.9 Ml
46 km al S de Lebu,2022-05-05 14:10:07,-38.005,-73.804,42 km,2.8 Ml
25 km al SO de ValparaÃ­so,2022-05-05 14:04:05,-33.221,-71.792,42 km,2.8 Ml
126 km al O de Canela Baja,2022-05-05 13:39:22,-31.398,-72.789,23 km,3.0 Ml
33 km al NE de Cuya,2022-05-05 12:38:25,-18.973,-69.942,52 km,3.4 Ml
87 km al NE de San Pedro de Atacama,2022-05-05 11:55:55,-22.246,-67.778,208 km,4.2 Ml
55 km al NO de Lebu,2022-05-05 10:12:14,-37.275,-74.113,25 km,2.7 Ml
77 km al SE de Socaire,2022-05-05 09:58:29,-24.142,-67.432,201 km,2.8 Ml
58 km al SO de OllagÃ¼e,2022-05-05 09:30:24,-21.684,-68.526,117 km,3.3 Ml
47 km al SO de Los Vilos,2022-05-05 09:16:55,-32.215,-71.855,30 km,2.8 Ml
7 km al SO de Huasco,2022-05-05 07:23:52,-28.497,-71.279,42 km,3.8 Ml
236 km al NO de Tortel,2022-05-05 06:42:24,-45.974,-75.119,32 km,2.5 Ml
141 km al NO de ConstituciÃ³n,2022-05-05 06:24:00,-34.645,-73.716,20 km,2.7 Ml
41 km al NE de Calama,2022-05-05 05:38:38,-22.198,-68.66,130 km,3.6 Ml
35 km al E de Talca,2022-05-05 04:47:39,-35.559,-71.318,96 km,2.6 Ml
7 km al S de Pozo Almonte,2022-05-05 04:43:15,-20.318,-69.766,39 km,3.3 Ml
112 km al NE de Socaire,2022-05-05 03:03:29,-23.026,-66.987,252 km,2.9 Ml
43 km al E de Socaire,2022-05-05 02:33:14,-23.644,-67.47,197 km,3.0 Ml
48 km al SO de Los Vilos,2022-05-05 02:10:20,-32.223,-71.857,19 km,2.6 Ml
61 km al O de Tongoy,2022-05-05 02:00:19,-30.066,-72.087,24 km,3.1 Ml
64 km al SE de Socaire,2022-05-05 01:57:56,-23.899,-67.364,219 km,3.1 Ml
58 km al O de Tongoy,2022-05-05 01:33:00,-30.062,-72.054,36 km,4.3 Ml
67 km al SE de Socaire,2022-05-05 01:02:39,-24.135,-67.603,222 km,4.3 Mw
