evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
24 km al E de Calama,-22.432 ,-68.703,2023-01-22,20:43:07,2023-01-22,23:43:07,130,km,2.7,Ml
61 km al E de La Higuera,-29.362 ,-70.599,2023-01-22,20:04:21,2023-01-22,23:04:21,86,km,2.8,Ml
69 km al SE de Socaire,-23.967 ,-67.357,2023-01-22,19:37:16,2023-01-22,22:37:16,249,km,3.3,Ml
40 km al SO de Putre,-18.429 ,-69.843,2023-01-22,18:10:27,2023-01-22,21:10:27,83,km,2.7,Ml
55 km al SE de Socaire,-23.869 ,-67.445,2023-01-22,17:50:58,2023-01-22,20:50:58,250,km,2.8,Ml
30 km al O de Putre,-18.239 ,-69.836,2023-01-22,14:44:58,2023-01-22,17:44:58,121,km,3.2,Ml
104 km al O de Navidad,-33.744 ,-72.926,2023-01-22,13:30:57,2023-01-22,16:30:57,32,km,3.3,Ml
46 km al SO de Mina Collahuasi,-21.132 ,-68.955,2023-01-22,12:54:03,2023-01-22,15:54:03,110,km,2.5,Ml
64 km al N de Huasco,-27.910 ,-71.044,2023-01-22,12:08:47,2023-01-22,15:08:47,50,km,2.7,Ml
13 km al SE de Socaire,-23.697 ,-67.838,2023-01-22,08:20:58,2023-01-22,11:20:58,290,km,2.6,Ml
42 km al SO de Mina Collahuasi,-21.076 ,-68.959,2023-01-22,07:33:44,2023-01-22,10:33:44,117,km,3.4,Ml
49 km al O de Punitaqui,-30.700 ,-71.743,2023-01-22,07:14:53,2023-01-22,10:14:53,31,km,2.6,Ml
85 km al E de San Pedro de Atacama,-22.842 ,-67.379,2023-01-22,07:02:14,2023-01-22,10:02:14,270,km,3.3,Ml
91 km al O de ValparaÃ­so,-32.974 ,-72.586,2023-01-22,05:57:25,2023-01-22,08:57:25,26,km,3.1,Ml
45 km al N de CamiÃ±a,-18.912 ,-69.435,2023-01-22,05:33:26,2023-01-22,08:33:26,92,km,3.1,Ml
79 km al SO de Caldera,-27.728 ,-71.123,2023-01-22,04:25:47,2023-01-22,07:25:47,21,km,2.8,Ml
31 km al SO de OllagÃ¼e,-21.411 ,-68.476,2023-01-22,04:14:56,2023-01-22,07:14:56,134,km,2.6,Ml
39 km al S de Mina Collahuasi,-21.155 ,-68.783,2023-01-22,03:27:03,2023-01-22,06:27:03,114,km,2.8,Ml
23 km al O de Canela Baja,-31.438 ,-71.699,2023-01-22,01:12:27,2023-01-22,04:12:27,37,km,2.7,Ml
32 km al E de Pica,-20.470 ,-69.026,2023-01-22,01:03:13,2023-01-22,04:03:13,111,km,2.5,Ml
35 km al SE de Putre,-18.411 ,-69.318,2023-01-21,21:20:12,2023-01-22,00:20:12,110,km,2.7,Ml
